iter	Passed	Remaining
202	3128	12284
203	3146	12275
204	3162	12264
205	3177	12245
206	3189	12219
207	3200	12185
208	3214	12165
209	3233	12163
210	3266	12214
211	3303	12277
212	3314	12247
213	3331	12237
214	3343	12207
215	3355	12178
216	3366	12147
217	3378	12118
218	3390	12090
219	3402	12062
220	3413	12031
221	3425	12006
222	3438	11980
223	3449	11949
224	3460	11920
225	3472	11894
226	3485	11868
227	3496	11838
228	3508	11811
229	3521	11789
230	3535	11769
231	3546	11741
232	3558	11712
233	3570	11689
234	3583	11665
235	3596	11642
236	3618	11648
237	3633	11631
238	3645	11606
239	3655	11576
240	3668	11553
241	3682	11534
242	3695	11511
243	3706	11485
244	3718	11458
245	3730	11433
246	3741	11406
247	3753	11380
248	3765	11357
249	3778	11335
250	3789	11309
251	3800	11279
252	3812	11257
253	3824	11232
254	3835	11206
255	3848	11184
256	3861	11164
257	3874	11144
258	3886	11119
259	3898	11095
260	3912	11078
261	3926	11060
262	3940	11041
263	3953	11022
264	3965	10999
265	3978	10977
266	3992	10960
267	4006	10944
268	4022	10930
269	4036	10913
270	4049	10893
271	4062	10872
272	4075	10852
273	4089	10834
274	4103	10817
275	4115	10796
276	4127	10773
277	4139	10751
278	4154	10736
279	4170	10724
280	4183	10703
281	4194	10680
282	4207	10658
283	4219	10639
284	4236	10628
285	4250	10611
286	4267	10602
287	4283	10589
288	4300	10579
289	4316	10568
290	4330	10550
291	4346	10538
292	4362	10526
293	4378	10513
294	4394	10501
295	4409	10486
296	4424	10472
297	4438	10455
298	4453	10440
299	4465	10419
300	4477	10397
301	4489	10375
302	4500	10353
303	4515	10337
304	4530	10323
305	4545	10308
306	4558	10289
307	4569	10267
308	4583	10249
309	4597	10233
310	4612	10219
311	4627	10205
312	4644	10193
313	4658	10178
314	4673	10164
315	4689	10150
316	4705	10139
317	4720	10123
318	4736	10111
319	4751	10097
320	4763	10076
321	4773	10051
322	4787	10035
323	4803	10021
324	4818	10008
325	4834	9995
326	4850	9982
327	4866	9969
328	4882	9957
329	4898	9944
330	4913	9930
331	4929	9918
332	4946	9907
333	4960	9891
334	4975	9877
335	4990	9861
336	5002	9842
337	5018	9828
338	5033	9814
339	5048	9799
340	5062	9784
341	5076	9766
342	5089	9748
343	5103	9732
344	5117	9715
345	5133	9702
346	5147	9687
347	5162	9671
348	5176	9656
349	5191	9642
350	5206	9627
351	5222	9613
352	5237	9599
353	5252	9585
354	5267	9571
355	5282	9556
356	5297	9541
357	5311	9525
358	5326	9509
359	5340	9494
360	5355	9479
361	5370	9465
362	5386	9451
363	5401	9437
364	5414	9419
365	5429	9405
366	5446	9393
367	5461	9380
368	5478	9367
369	5493	9354
370	5507	9336
371	5521	9321
372	5536	9306
373	5548	9287
374	5561	9269
375	5574	9250
376	5589	9236
377	5605	9223
378	5619	9208
379	5633	9191
380	5645	9172
381	5659	9155
382	5672	9138
383	5687	9123
384	5700	9105
385	5713	9088
386	5727	9072
387	5739	9053
388	5754	9039
389	5769	9024
390	5784	9009
391	5800	8996
392	5816	8983
393	5829	8966
394	5844	8951
395	5859	8937
396	5874	8922
397	5887	8905
398	5901	8889
399	5916	8875
400	5929	8857
401	5944	8843
402	5960	8830
403	5974	8814
404	5988	8797
405	6003	8782
